feature,inferred_type,train_non_null_ratio,test_non_null_ratio,train_numeric_parse_ratio,test_numeric_parse_ratio,train_unique_ratio_non_null,id_like_flag,spearman_with_log_correction,drift_metric_name,drift_metric_value
esg_firma_firma-esg-score-2__archiv-input__pruefungsurteil-enum,categorical,0.1795028028271996,0.20877129394708227,0.0,0.0,0.0013577732518669382,0,,tv_categorical,0.03195886424744063
esg_firma_kapitel-rechtsform-und-gruendung__erste-rechtsform__bezeichnung,categorical,1.0,1.0,0.0,0.0,0.004021447721179625,0,,tv_categorical,0.03188196615653625
esg_firma_social__kuendigungen__anzahl-quelle,categorical,0.815744577138679,0.7890540050743022,0.0,0.0,0.00134448760083657,0,,tv_categorical,0.03168828543935313
esg_firma_kapitel-firmenidentifikation__anschrift__herkunft-qualitaet__herkunft,categorical,0.8123324396782842,0.800289960130482,0.0,0.0,0.0034503450345034505,0,,tv_categorical,0.03156328739382784
esg_firma_social__unfaelle__anzahl-quelle,categorical,0.9101876675603218,0.9166364624864081,0.0,0.0,0.0012049805864238854,0,,tv_categorical,0.031498314911507105
esg_firma_hauptbranche_abschnitt_gr,categorical,1.0,1.0,0.0,0.0,0.0017060687301974165,0,,tv_categorical,0.031150175478704977
esg_firma_social__kuendigungen__anzahl-durch-mitarbeiter,categorical,0.7769924445527663,0.7589706415367887,0.7769924445527663,0.7589706415367887,0.015056461731493099,0,,tv_categorical,0.030832799699156633
esg_firma_esg-bewertung__input__anzahl-kuendigungen-mitarbeiter,categorical,0.7769924445527663,0.7589706415367887,0.7769924445527663,0.7589706415367887,0.015056461731493099,0,,tv_categorical,0.030832799699156633
esg_firma_unternehmensgroese_by_eu,categorical,1.0,1.0,0.0,0.0,0.0006093102607847916,0,,tv_categorical,0.030225145772897366
esg_firma_environmental__co2-ausstoss-gesamt__emissions-reduktions-jahr,categorical,0.08725322934438216,0.10801014860456687,0.08725322934438216,0.10801014860456687,0.051675977653631286,0,,tv_categorical,0.030136255820028275
esg_firma_firma-esg-score-2__archiv-input__umsatz-jahr,categorical,0.7995369242018036,0.8122508155128669,0.7995369242018036,0.8122508155128669,0.0006096631611034903,0,,tv_categorical,0.03012656074193892
branche_5,categorical,0.06336826712161833,0.07466473359913012,0.06336826712161833,0.07466473359913012,0.40192307692307694,0,,tv_categorical,0.03012481606957207
esg_firma_kapitel-wirtschaftliche-entwicklung__unternehmensentwicklung,categorical,0.73677796734097,0.725625226531352,0.0,0.0,0.0019847833278200462,0,,tv_categorical,0.029213589151477065
esg_firma_kapitel-kapital-struktur__zusatzinfo-struktur-kg__kommanditeinlage__wert,categorical,0.14330977333658299,0.1254077564334904,0.14330977333658299,0.1254077564334904,0.3129251700680272,0,,tv_categorical,0.02920161937397267
esg_firma_environmental__elektrizitaet__anteil-erneuerbar,categorical,0.26212527418961734,0.27836172526277636,0.26212527418961734,0.27836172526277636,0.14225941422594143,0,,tv_categorical,0.02879449234760196
esg_firma_social__anteil-frauen__kontrollebene-quelle,categorical,0.47916158908116013,0.45849945632475536,0.0,0.0,0.002288911495422177,0,,tv_categorical,0.028502116177158743
esg_firma_environmental__erdgas__wert,categorical,0.4880575188886181,0.4744472635012686,0.4880575188886181,0.4744472635012686,0.4237203495630462,0,,tv_categorical,0.02844195810719213
esg_firma_esg-bewertung__input__bilanz-pruefungsurteil,categorical,0.2409212771143066,0.2649510692279812,0.0,0.0,0.0015174506828528073,0,,tv_categorical,0.028142625331741753
